Tarifit (Izran),Normalized,Freq,Categorie,Voorbeeld (Tarifit),Vertaling-hint (NL),Vers#,→ TOEVOEGEN? (ja / nee / variant),Nederlands,Niveau (A1-C2),Woordsoort
tesřit,tesřit,3,VERVOEGDE VORM,awyent idd x tesřit x ccejjaṛt n tteffaḥ.,"Een Mercedes 250, versierd met bloemetjes,","33,44",,,,
eyybent,eyybent,2,VERVOEGDE VORM,"Ɛeyybent ayi llif nnant ayi d aḥidar,","Mijn hart verlangde naar je en ik had het niet kunnen dromen,",4,,,,
jjent,jjent,2,VERVOEGDE VORM,jjent ayi a t awyeɣ a t arreɣ d akidar.,"Mijn hart verlangde naar je en ik had het niet kunnen dromen,",4,,,,
tameẓyant,tameẓyant,2,VERVOEGDE VORM,"Subiḥa tameẓyant tehwa dd a tayem,","Houd op met huilen, niemand gelooft je,","5,30",,,,
qebřeɣ,qebřeɣ,2,VERVOEGDE VORM,min ɣa yegg aṛebbi necc a zzayes qebřeɣ.,"Ik vroeg haar verkering, zij zei: ik kan niet.","6,13",,,,
seřɛet,seřɛet,2,VERVOEGDE VORM,"A seřɛet x yejdi uř inu itarjiji,","Ik vroeg haar verkering, zij zei: ik kan niet.","6,11",,,,
ruḥeɣ,ruḥeɣ,2,VERVOEGDE VORM,a ya řalla yemma ruḥeɣ dayes d asizi.,"Ik vroeg haar verkering, zij zei: ik kan niet.","6,9",,,,
cemḍeɣ,cemḍeɣ,2,VERVOEGDE VORM,A yemma ma d wa d lḥub i xef cemḍeɣ deɛqeɣ?,"Hij gaf me een ring zo smal als een doorn,","8,17",,,,
deɛqeɣ,deɛqeɣ,2,VERVOEGDE VORM,A yemma ma d wa d lḥub i xef cemḍeɣ deɛqeɣ?,"Hij gaf me een ring zo smal als een doorn,","8,17",,,,
iwiyeɣ,iwiyeɣ,2,VERVOEGDE VORM,a yazufri n ḍḍcar weḷḷah war cek iwiyeɣ.,"O mijn haren die worden meegenomen in de broekzakken,","10,22",,,,
ayarent,ayarent,2,VERVOEGDE VORM,"Ɛayarent ayi teḥramin s lḥubb d aɛezri,","Als je een jurk om mijn lijf was,","13,16",,,,
waḥit,waḥit,2,VERVOEGDE VORM,"A Mamuc taḥellut řqa ayi dd ɣar waḥit,","Ik wilde niet huilen, maar toch liet hij me huilen,",14,,,,
temmet,temmet,2,VERVOEGDE VORM,basura a temmet lḥubb nneɣ a yarni.,"Kom maar langs liefje en schroom niet,","16,40",,,,
beddeɣ,beddeɣ,2,VERVOEGDE VORM,"Beddeɣ di tewwaṛt yenna ayi dd a mnwaḍar,","Kom maar langs liefje en schroom niet,","16,19",,,,
řaɣiɣ,řaɣiɣ,2,VERVOEGDE VORM,"Beddeɣ di tewwařt řaɣiɣ ɣar miḍar,",Ik ga het aan een Koranstudent in Oujda vragen:,19,,,,
qqneɣ,qqneɣ,2,VERVOEGDE VORM,"Yeqqs ayi uzedjif qqneɣ as řɛamaṛ,",Ik ga het aan een Koranstudent in Oujda vragen:,19,,,,
tamcunt,tamcunt,2,VERVOEGDE VORM,tamcunt n mecciki texs ayi tawi ɛumaṛ.,Ik ga het aan een Koranstudent in Oujda vragen:,19,,,,
qqḍeɣ,qqḍeɣ,2,VERVOEGDE VORM,řebɛad n yiwdan ad asen qqḍeɣ lisanes.,"Nou mijn lieve schat, je doet wat je wilt,",20,,,,
ḥenceɣ,ḥenceɣ,2,VERVOEGDE VORM,"A řalla tamziyda ad am ḥenceɣ ttaṛf,","De voorspelling van de heiligen doet mij niets,","23,47",,,,
tasrit,tasrit,2,VERVOEGDE VORM,"Řalla tasrit nneɣ teqqim di řemraḥ,","O onze bruid, waarom huilt je moeder?","25,36",,,,
řehdeyyet,řehdeyyet,2,VERVOEGDE VORM,"Iwyent am dd řehdeyyet yessi-s n uḍewwaṛ,","Een Mercedes 250, versierd met bloemetjes,",33,,,,
